id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Label
317274,NA,NA,NA,NA,NA,"Skyscrapers=>,Sport=>,Art and Music=>,Carnival=>,Cuisine=>,Economic=>",NA,NA,NA,NA,Paris
209691,4,3,5,2,"Partner,Friends","Skyscrapers=>4,Sport=>3,Art and Music=>6,Carnival=>3,Cuisine=>6,Economic=>5",5,3,30,NA,Paris
495792,5,2,5,1,"Partner,Friends,Siblings","Skyscrapers=>1,Sport=>1,Art and Music=>6,Carnival=>1,Cuisine=>6,Economic=>1",5,5,6,NA,Paris
413395,5,5,5,5,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>3,Sport=>4,Art and Music=>6,Carnival=>5,Cuisine=>6,Economic=>4",10,3,NA,"fashion, good food, romantic",Paris
521988,5,1,5,2,Partner,"Skyscrapers=>2,Sport=>4,Art and Music=>1,Carnival=>6,Cuisine=>3,Economic=>5",10,3,7,NA,Paris
502612,5,1,3,4,Partner,"Skyscrapers=>1,Sport=>6,Art and Music=>6,Carnival=>3,Cuisine=>6,Economic=>5",15,2,1,NA,Paris
525292,5,3,2,2,Partner,"Skyscrapers=>1,Sport=>1,Art and Music=>6,Carnival=>1,Cuisine=>2,Economic=>1",5,2,3,NA,Paris
423637,4,2,5,2,Partner,"Skyscrapers=>6,Sport=>5,Art and Music=>1,Carnival=>4,Cuisine=>2,Economic=>3",20,5,15,NA,Paris
519545,5,4,3,4,Partner,"Skyscrapers=>1,Sport=>5,Art and Music=>4,Carnival=>2,Cuisine=>6,Economic=>3",5,4,5,NA,Paris
314116,4,5,2,4,Partner,"Skyscrapers=>1,Sport=>2,Art and Music=>4,Carnival=>3,Cuisine=>6,Economic=>5",5,2,9,NA,Paris
